zip_code,asian_ratio,white_ratio,black_ratio,age,income
58769,0.005764,0.988473,0.002882,24.6,45972
95589,0.001931,0.989382,0.000000,57.2,37650
35980,0.000365,0.938630,0.001279,36.7,21058
67452,0.011834,0.988166,0.000000,47.8,31667
56214,0.002736,0.982216,0.000000,50.1,24194
58227,0.004474,0.941834,0.011186,50.5,36467
72327,0.000985,0.474151,0.375677,34.3,25169
04479,0.001487,0.972491,0.012639,53.5,19984
67867,0.001086,0.998914,0.000000,36.9,27041
62910,0.000863,0.834700,0.134225,53.3,20100
67035,0.002022,0.985844,0.002022,46.5,34193
71740,0.001558,0.629283,0.339564,50.7,16345
56216,0.002849,0.987179,0.000000,39.7,35000
54466,0.000722,0.978700,0.000000,47.6,27395
61089,0.002472,0.983931,0.000000,37.2,31688
21521,0.001789,0.963327,0.000000,50.6,22174
68372,0.000639,0.982097,0.001918,32.6,37869
95428,0.000811,0.562221,0.010134,34.6,19097
55991,0.001548,0.940402,0.006192,47.6,36771
54539,0.001619,0.948178,0.037247,58.1,23125
52209,0.001649,0.976917,0.000000,31.9,28750
62362,0.006849,0.958904,0.023973,53.5,23380
59832,0.002225,0.973304,0.004449,47.1,23352
67430,0.002907,0.976744,0.001453,53.3,24327
62462,0.002079,0.984407,0.000000,36.3,26400
52072,0.006536,0.993464,0.000000,26,41250
99679,0.004608,0.064516,0.000000,24.6,7750
58789,0.006098,0.966463,0.012195,49.2,36484
51016,0.001499,0.982009,0.000000,52.1,25022
68460,0.002805,0.983170,0.000000,52.5,34671
57428,0.002849,0.988604,0.000000,48.5,26552
58533,0.002018,0.980827,0.000000,52.7,23359
99655,0.002621,0.117955,0.000000,28.8,13272
67581,0.005464,0.975410,0.000000,30.3,34625
01346,0.004310,0.978448,0.000000,49.1,31313
67831,0.002307,0.950404,0.013841,44.9,31397
83836,0.002463,0.983990,0.000000,60.4,26580
68824,0.001372,0.950617,0.001372,34.8,31735
51024,0.001127,0.968997,0.014092,49.5,37650
58330,0.006390,0.904153,0.000000,51.9,24688
69022,0.001167,0.971995,0.002917,48.8,28914
71921,0.000512,0.966479,0.001024,39.9,21382
21542,0.002950,0.963127,0.000000,51,24875
73641,0.003096,0.880805,0.000000,37,21833
58718,0.002328,0.961583,0.009313,45.2,35060
93512,0.006826,0.614334,0.000000,45.8,24273
49340,0.000678,0.922686,0.015938,38.7,25850
28344,0.000505,0.633561,0.198888,34.3,24093
07723,0.002670,0.986649,0.001335,58.9,31563
12852,0.004505,0.961712,0.004505,60.4,28550
13670,0.004773,0.952267,0.000000,53.9,22955
40440,0.000896,0.936856,0.051948,34,22203
61912,0.001676,0.994132,0.000000,46,30859
68740,0.001797,0.975741,0.000000,38.4,31425
20838,0.008403,0.983193,0.008403,52,47841
32622,0.002006,0.941825,0.053159,47.7,26386
62872,0.001967,0.993117,0.000000,38.7,27813
55953,0.002345,0.957796,0.000000,46.9,26510
86032,0.001433,0.684097,0.000000,27.6,22333
08006,0.005479,0.969863,0.000000,69.7,32072
54826,0.002725,0.963215,0.005450,52.5,26389
57331,0.004454,0.979955,0.000000,36.5,38977
54205,0.000990,0.971782,0.000990,46,30776
49746,0.000577,0.978938,0.003174,54.5,20678
68010,0.002208,0.778146,0.144592,17.6,2499
96047,0.002849,0.924501,0.000000,55,26071
32358,0.000968,0.879536,0.086115,48,28725
84736,0.009756,0.878049,0.000000,36.4,22750
46911,0.001456,0.956332,0.000000,35.7,34024
78405,0.000129,0.858297,0.055724,37.4,16176
76844,0.000538,0.978489,0.000807,46.5,20984
95564,0.005263,0.786842,0.000000,33.7,19107
01237,0.000751,0.962059,0.027799,46.9,36856
54527,0.002079,0.981289,0.000000,53.4,20719
56036,0.001103,0.991731,0.001654,48.1,27247
24538,0.000382,0.846242,0.117422,46.8,32784
13664,0.006098,0.975610,0.009146,42.4,28750
48612,0.000221,0.980699,0.001103,47.3,22902
57658,0.005634,0.087324,0.000000,30.6,12206
65648,0.000321,0.975888,0.004983,37.3,29741
14864,0.001674,0.947280,0.000000,53.3,24917
49689,0.001460,0.986131,0.000000,53.3,23472
96076,0.010363,0.901554,0.010363,64.5,14688
56232,0.000808,0.960792,0.023444,48.2,25490
44689,0.002751,0.993122,0.004127,29.5,27404
48770,0.001012,0.985331,0.002529,47.9,20648
98286,0.012048,0.969880,0.006024,63.3,30208
73530,0.004246,0.692144,0.065817,49.2,21641
46791,0.001986,0.977160,0.000000,39.5,28417
27950,0.000928,0.978664,0.000000,47.8,35024
57465,0.005917,0.952663,0.000000,51.5,36111
49452,0.000998,0.938155,0.002494,40,21789
70520,0.000102,0.699892,0.286080,33.3,30289
45851,0.002999,0.992504,0.000000,38.6,30551
99128,0.008230,0.946502,0.000000,48.4,27500
01243,0.006006,0.993994,0.000000,57.3,38438
61843,0.000887,0.976486,0.003106,37.9,31365
49233,0.000948,0.985782,0.001896,54.8,27959
19310,0.000621,0.882883,0.073936,33.2,30084
64641,0.003306,0.991736,0.000000,51.3,25610
74956,0.001112,0.833148,0.004449,34,20500
52361,0.000450,0.979730,0.007658,39,28960
82937,0.000485,0.988854,0.000000,34.8,33488
65601,0.003284,0.947455,0.000000,54.1,26625
39653,0.000759,0.692103,0.297267,47.4,23689
62839,0.000314,0.985414,0.006274,43.7,27750
16832,0.003021,0.968278,0.007553,27.6,30524
93545,0.001100,0.867987,0.003850,39,19821
35121,0.000132,0.917806,0.040045,39.7,27057
12861,0.003130,0.996870,0.000000,55.1,34500
61771,0.002260,0.981921,0.000000,37.3,40708
95713,0.000201,0.911605,0.023733,47.8,24267
63533,0.002721,0.980952,0.000000,34.9,26357
13488,0.012987,0.896104,0.000000,39.1,28125
04360,0.004525,0.977376,0.000000,54.8,26563
52731,0.002740,0.994521,0.002740,50,27625
67450,0.003610,0.969314,0.000000,48.7,26031
49958,0.002478,0.991326,0.000000,48.8,25398
99638,0.080000,0.240000,0.000000,39.5,19375
61924,0.000851,0.958298,0.018298,50.2,28068
21538,0.004706,0.995294,0.000000,47.6,16713
17959,0.001414,0.982320,0.002122,46.5,26579
65713,0.000868,0.961355,0.000868,46.1,21618
16927,0.003210,0.937400,0.017657,54.6,18693
46539,0.000817,0.977134,0.004083,37.2,24635
51056,0.006231,0.993769,0.000000,53.8,30298
86502,0.001502,0.105856,0.000000,30.4,15478
14541,0.000455,0.702137,0.243065,35.7,23199
59450,0.004032,0.959677,0.000000,49.5,23352
74366,0.001368,0.647059,0.000684,49.1,20884
64401,0.001149,0.932223,0.008041,32.8,28125
75141,0.000344,0.586586,0.359243,32.1,20529
